,fecha,agencia_id,canal_id,producto_id,venta_uni,agencia_orig,producto_orig,canal_orig,fechaLab,season,isholiday,isholidayyesterday,isholidaytomorrow,Week,Month,lag1month,lag05month,lag05rollavg2,lag05rollavg3,lag2rollavg3,lag05ewma3,lag05ewma8,lag2ewma3,lag4ewma3,lag05ewma3lag05ewma8,lag2ewma3lag4ewma3,price
119,2017-05-11,5,2,7,20,12750,35549,4,5,1,0,1,0,19,5,207,261,14458.0,10316.0,9061.0,7916.0,8145.0,7916.0,5069.0,-229.0,2847.0,17
120,2017-05-11,5,2,8,273,12750,38588,4,5,1,0,1,0,19,5,2293,3147,1704.0,10688.0,1250.0,5531.0,7034.0,5531.0,3681.0,-1503.0,1850.0,5
121,2017-05-11,5,2,12,5,12750,42158,4,5,1,0,1,0,19,5,0,0,1574.0,1136.0,1146.0,2766.0,5471.0,2766.0,1840.0,-2705.0,926.0,7
122,2017-05-11,5,2,16,276,12750,123460,4,5,1,0,1,0,19,5,291,352,176.0,1166.0,146.0,1559.0,4333.0,1559.0,1066.0,-2774.0,493.0,23
123,2017-05-11,6,0,0,32,12752,6011,1,5,1,0,1,0,19,5,103,169,260.0,174.0,197.0,864.0,3408.0,864.0,584.0,-2544.0,280.0,16
124,2017-05-11,6,0,1,2289,12752,6437,1,5,1,0,1,0,19,5,17801,22285,11227.0,7602.0,8952.0,11574.0,7603.0,11574.0,9193.0,3971.0,2381.0,7
125,2017-05-11,6,0,2,1172,12752,6555,1,5,1,0,1,0,19,5,11486,14218,18252.0,12224.0,14644.0,12896.0,9073.0,12896.0,10339.0,3823.0,2557.0,7
126,2017-05-11,6,0,3,558,12752,7840,1,5,1,0,1,0,19,5,7371,15226,14722.0,17243.0,9428.0,14061.0,10440.0,14061.0,8855.0,3621.0,5206.0,5
127,2017-05-11,6,0,4,107,12752,9784,1,5,1,0,1,0,19,5,442,506,7866.0,9983.0,3906.0,7284.0,8233.0,7284.0,4649.0,-949.0,2635.0,11
128,2017-05-11,6,0,5,45,12752,32354,1,5,1,0,1,0,19,5,266,344,425.0,5359.0,354.0,3814.0,6480.0,3814.0,2457.0,-2666.0,1357.0,16
129,2017-05-11,6,0,6,5,12752,33258,1,5,1,0,1,0,19,5,61,82,213.0,311.0,164.0,1948.0,5058.0,1948.0,1259.0,-3110.0,689.0,71
130,2017-05-11,6,0,8,1071,12752,38588,1,5,1,0,1,0,19,5,2829,4646,2364.0,1691.0,1445.0,3297.0,4966.0,3297.0,2044.0,-1669.0,1253.0,5
131,2017-05-11,6,0,9,396,12752,39109,1,5,1,0,1,0,19,5,2292,3119,3882.0,2616.0,2560.0,3208.0,4556.0,3208.0,2168.0,-1348.0,1040.0,10
132,2017-05-11,6,0,10,27,12752,41653,1,5,1,0,1,0,19,5,146,193,1656.0,2653.0,1219.0,1700.0,3586.0,1700.0,1157.0,-1886.0,543.0,109
133,2017-05-11,6,0,12,1906,12752,42158,1,5,1,0,1,0,19,5,19533,24167,12180.0,9160.0,9840.0,12934.0,8160.0,12934.0,10345.0,4774.0,2589.0,7
134,2017-05-11,6,0,13,5,12752,44117,1,5,1,0,1,0,19,5,41,91,12129.0,8150.0,9787.0,6512.0,6367.0,6512.0,5193.0,145.0,1319.0,345
135,2017-05-11,6,0,15,300,12752,123335,1,5,1,0,1,0,19,5,1860,2643,1367.0,8967.0,950.0,4578.0,5539.0,4578.0,3527.0,-961.0,1051.0,7
136,2017-05-11,6,0,17,1235,12752,123492,1,5,1,0,1,0,19,5,4923,6854,4748.0,3196.0,3392.0,5716.0,5831.0,5716.0,4225.0,-115.0,1491.0,8
137,2017-05-11,6,0,18,547,12752,123576,1,5,1,0,1,0,19,5,4249,5524,6189.0,5007.0,4586.0,5620.0,5763.0,5620.0,4237.0,-143.0,1383.0,7
138,2017-05-11,6,1,0,40,12752,6011,2,5,1,0,1,0,19,5,200,400,2962.0,4259.0,2224.0,3010.0,4571.0,3010.0,2218.0,-1561.0,792.0,16
139,2017-05-11,6,1,3,815,12752,7840,2,5,1,0,1,0,19,5,38531,47701,24050.0,17875.0,19366.0,25355.0,14156.0,25355.0,20375.0,11199.0,4980.0,5
140,2017-05-11,6,1,7,146,12752,35549,2,5,1,0,1,0,19,5,214,224,23962.0,16108.0,19372.0,12790.0,11060.0,12790.0,10294.0,1730.0,2496.0,17
141,2017-05-11,6,1,14,10,12752,123238,2,5,1,0,1,0,19,5,79,79,152.0,16001.0,146.0,6434.0,8620.0,6434.0,5187.0,-2186.0,1247.0,23
142,2017-05-11,6,2,0,87,12752,6011,4,5,1,0,1,0,19,5,1222,1422,750.0,575.0,650.0,3928.0,7020.0,3928.0,3204.0,-3092.0,724.0,16
143,2017-05-11,6,2,1,522,12752,6437,4,5,1,0,1,0,19,5,2892,3575,2498.0,1692.0,2057.0,3752.0,6255.0,3752.0,3048.0,-2503.0,704.0,7
